"","Nr","ID_1","Y","X","Code"
"149",149,0,10.804167,7.851682,4
"150",150,0,10.804167,7.860166,4
"151",151,0,10.804167,7.868649,4
"152",152,0,10.804167,7.877133,4
"153",153,0,10.804167,7.885617,2
"154",154,0,10.804167,7.894101,2
"155",155,0,10.795833,7.851464,4
"156",156,0,10.795833,7.859948,4
"157",157,0,10.795833,7.868431,4
"158",158,0,10.795833,7.876915,4
"159",159,0,10.795833,7.885398,2
"160",160,0,10.795833,7.893882,1
"161",161,0,10.7875,7.851246,2
"162",162,0,10.7875,7.85973,4
"163",163,0,10.7875,7.868213,4
"164",164,0,10.7875,7.876696,4
"165",165,0,10.7875,7.885179,4
"166",166,0,10.7875,7.893663,2
"167",167,0,10.779167,7.851029,2
"168",168,0,10.779167,7.859512,2
"169",169,0,10.779167,7.867995,4
"170",170,0,10.779167,7.876478,4
"171",171,0,10.779167,7.884961,4
"172",172,0,10.779167,7.893444,4
"173",173,0,10.770833,7.850812,2
"174",174,0,10.770833,7.859294,2
"175",175,0,10.770833,7.867777,4
"176",176,0,10.770833,7.87626,4
"177",177,0,10.770833,7.884743,2
"178",178,0,10.770833,7.893226,4
"179",179,0,9.454167,8.359376,3
"180",180,0,9.454167,8.367824,1
"181",181,0,9.454167,8.38472,4
"182",182,0,9.445833,8.37607,1
"183",183,0,9.445833,8.384517,1
"184",184,0,9.445833,8.392965,1
"185",185,0,9.4375,8.384315,4
"186",186,0,9.4375,8.392762,4
"187",187,0,9.429167,8.367217,2
"188",188,0,9.429167,8.384112,2
"189",189,0,9.429167,8.392559,4
"190",190,0,9.420833,8.358568,3
"191",191,0,9.420833,8.375462,2
"192",192,0,9.420833,8.38391,4
"193",193,0,9.420833,8.392357,4
"194",194,0,15.364762,4.909793,8
"195",195,0,13.926877,4.965769,8
"196",196,0,15.091369,4.773814,8
"197",197,0,12.219416,4.624802,5
"198",198,0,14.221627,3.653993,8
"199",199,0,14.324601,2.769112,8
"200",200,0,13.649481,1.973958,8
"201",201,0,14.381382,1.23904,4
"202",202,0,14.729834,1.487267,8
"203",203,0,14.768164,1.745449,8
"204",204,0,12.801808,2.081651,2
"205",205,0,13.229072,0.875497,2
"206",206,0,13.591749,1.061704,8
"207",207,0,15.394221,-0.410607,2
"208",208,0,13.875464,-0.721909,3
"209",209,0,12.823405,0.538202,2
"210",210,0,13.246144,-0.774607,4
"211",211,0,13.407662,-0.72671,2
"212",212,0,11.42529,-0.731555,2
"213",213,0,10.015687,-0.636714,4
"214",214,0,15.977846,-0.341977,8
"215",215,0,16.413138,-1.12607,8
"216",216,0,14.165572,-2.114415,2
"217",217,0,14.615285,-0.694786,2
"218",218,0,14.811351,-0.970955,8
"219",219,0,12.665049,-1.435356,8
"220",220,0,11.973009,-1.701444,2
"221",221,0,12.168924,-1.894435,4
"222",222,0,15.616479,-2.022427,8
"223",223,0,15.979953,-2.711883,8
"224",224,0,14.263997,-3.474425,8
"225",225,0,10.926573,-3.193446,2
"226",226,0,10.938338,-4.284226,2
"227",227,0,11.442655,-2.828261,3
"228",228,0,11.616479,-4.022427,2
"229",229,0,16.249974,-3.661475,9
"230",230,0,13.996138,-5.134009,1
"231",231,0,14.656867,-3.886791,8
"232",232,0,14.902164,-3.752505,8
"233",233,0,10.860376,-5.703118,2
"234",234,0,10.988719,-5.25735,2
"235",235,0,11.647732,-5.741401,2
"236",236,0,11.939801,-5.558072,2
"237",237,0,12.084639,-4.594701,2
"238",238,0,10.160401,-5.880372,2
"239",239,0,7.918154,-5.845673,1
"240",240,0,8.616479,-5.022427,1
"241",241,0,8.739433,-5.748411,1
"242",242,0,8.892392,-5.319326,2
"243",243,0,15.806938,-5.296675,2
"244",244,0,13.705593,-5.92527,3
"245",245,0,13.982816,-5.620658,4
"246",246,0,14.133772,-6.538242,2
"247",247,0,13.102,-6.55945,2
"248",248,0,9.913937,-6.854853,1
"249",249,0,10.734448,-6.702586,2
"250",250,0,10.806938,-7.296675,2
"251",251,0,15.594287,-7.28784,8
"252",252,0,12.826481,-7.163033,2
"253",253,0,13.310166,-7.492159,2
"254",254,0,13.627565,-7.795744,2
"255",255,0,6.887491,-8.445203,2
"256",256,0,7.216453,-9.747339,1
"257",257,0,7.381058,-8.894391,1
"258",258,0,15.501104,-8.32488,2
"259",259,0,15.683643,-8.979287,2
"260",260,0,15.851818,-9.286254,8
"261",261,0,16.168206,-8.92908,8
"262",262,0,14.77871,-9.387344,2
"263",263,0,12.396588,-9.346024,2
"264",264,0,12.97717,-9.122223,2
"265",265,0,12.995883,-9.277975,4
"266",266,0,11.591107,-8.975299,2
"267",267,0,9.599034,-10.511487,2
"268",268,0,9.758559,-10.333889,1
"269",269,0,7.599034,-11.511487,1
"270",270,0,7.656633,-11.327289,1
"271",271,0,6.99816,11.983772,3
"272",272,0,5.07051,11.584514,1
"273",273,0,3.888195,11.552208,6
"274",274,0,3.433164,11.553405,1
"275",275,0,3.376858,11.604471,1
"276",276,0,3.246566,11.307891,1
"277",277,0,2.469781,11.826453,1
"278",278,0,12.635768,11.86815,4
"279",279,0,12.494966,11.487138,8
"280",280,0,11.951409,11.820806,4
"281",281,0,8.815417,11.844383,3
"282",282,0,8.071209,11.102036,4
"283",283,0,5.901207,9.976196,1
"284",284,0,5.759925,10.891206,1
"285",285,0,4.835404,11.212216,1
"286",286,0,4.351064,9.672893,1
"287",287,0,4.005394,9.744096,6
"288",288,0,2.759925,9.891206,1
"289",289,0,2.400857,9.902696,1
"290",290,0,14.192531,10.786315,8
"291",291,0,11.326942,11.010199,4
"292",292,0,10.594428,9.881307,3
"293",293,0,9.900961,10.562432,2
"294",294,0,7.635768,9.86815,4
"295",295,0,7.592982,9.967372,4
"296",296,0,7.338715,9.772897,4
"297",297,0,6.986209,9.958622,1
"298",298,0,5.645052,9.643656,1
"299",299,0,5.635768,8.86815,1
"300",300,0,5.609671,8.637882,1
"301",301,0,5.384327,8.849105,1
"302",302,0,3.684162,8.670581,1
"303",303,0,13.999442,9.67877,8
"304",304,0,13.554969,8.716749,2
"305",305,0,13.433186,9.683209,4
"306",306,0,12.081057,9.4414,4
"307",307,0,10.821162,7.956329,2
"308",308,0,9.306194,7.812802,4
"309",309,0,8.336714,8.57702,4
"310",310,0,6.903643,7.793984,4
"311",311,0,14.93669,7.812455,2
"312",312,0,14.611458,8.370105,8
"313",313,0,14.208992,8.21787,8
"314",314,0,12.692274,6.997733,2
"315",315,0,10.686197,7.483715,4
"316",316,0,9.788979,7.462904,2
"317",317,0,9.46997,6.938056,4
"318",318,0,9.048253,7.527946,6
"319",319,0,8.686197,6.483715,3
"320",320,0,6.462375,6.39515,1
"321",321,0,5.485144,6.20217,1
"322",322,0,5.356257,5.710662,1
"323",323,0,4.603978,5.73864,1
"324",324,0,4.524187,5.913056,1
"325",325,0,4.442076,5.985412,5
"326",326,0,4.364714,5.938572,1
"327",327,0,15.561814,6.77465,8
"328",328,0,14.330985,6.194582,4
"329",329,0,13.342278,6.717109,8
"330",330,0,12.755268,5.803686,4
"331",331,0,11.961223,6.142916,2
"332",332,0,11.206516,6.148,2
"333",333,0,9.014848,4.788755,1
